Year,Region,Alcohol_consumption,Schooling
2000,European Union,290.78,9.937037037
2000,Rest of Europe,108.66,9.926666667
2000,North America,21.06,10.13333333
2000,Middle East,12.939,6.728571429
2000,Oceania,31.17,7.254545455
2000,Central America and Caribbean,106.41,7.068421053
2000,Africa,155.934,3.949019608
2000,Asia,57.947,6.644444444
2001,European Union,294.2,10.11481481
2001,Rest of Europe,107.18,10.01333333
2001,North America,20.87,10.23333333
2001,Middle East,13.364,6.85
2001,Oceania,31.48,7.290909091
2001,Central America and Caribbean,106.14,7.236842105
2001,Africa,155.887,4.005882353
2001,Asia,54.889,6.740740741
2002,European Union,296.26,10.28148148
2002,Rest of Europe,107.98,10.13333333
2002,North America,20.95,10.4
2002,Middle East,12.999,6.935714286
2002,Oceania,32.34,7.345454545
2002,Central America and Caribbean,109.29,7.305263158
2002,Africa,154.312,4.109803922
2002,Asia,54.471,6.833333333
2003,European Union,294.93,10.47037037
2003,Rest of Europe,109.22,10.22666667
2003,North America,21.11,10.53333333
2003,Middle East,12.714,7.071428571
2003,Oceania,33.59,7.390909091
2003,Central America and Caribbean,110.64,7.384210526
2003,Africa,148.392,4.174509804
2003,Asia,55.707,6.918518519
2004,European Union,300.91,10.73333333
2004,Rest of Europe,112.44,10.36
2004,North America,21.28,10.73333333
2004,Middle East,12.539,7.207142857
2004,Oceania,31.99,7.463636364
2004,Central America and Caribbean,105.66,7.457894737
2004,Africa,145.652,4.264705882
2004,Asia,56.434,7.033333333
2005,European Union,298.18,10.92222222
2005,Rest of Europe,118.18,10.48666667
2005,North America,21.58,10.86666667
2005,Middle East,13.457,7.321428571
2005,Oceania,32.85,7.509090909
2005,Central America and Caribbean,108.33,7.531578947
2005,Africa,149.675,4.358823529
2005,Asia,59.5544,7.118518519
2006,European Union,304.41,11.06666667
2006,Rest of Europe,117.2,10.63333333
2006,North America,22.03,11.03333333
2006,Middle East,12.895,7.621428571
2006,Oceania,32.129,7.627272727
2006,Central America and Caribbean,109.98,7.626315789
2006,Africa,153.9821,4.449019608
2006,Asia,59.655,7.2
2007,European Union,307.84,11.21851852
2007,Rest of Europe,121.94,10.76666667
2007,North America,21.28,11.1
2007,Middle East,12.854,7.792857143
2007,Oceania,32.486,7.754545455
2007,Central America and Caribbean,109.67,7.731578947
2007,Africa,156.2053,4.541176471
2007,Asia,64.287,7.259259259
2008,European Union,301.12,11.28148148
2008,Rest of Europe,125.01,10.91333333
2008,North America,21.41,11.2
2008,Middle East,12.858,7.892857143
2008,Oceania,32.772,7.918181818
2008,Central America and Caribbean,110.87,7.868421053
2008,Africa,150.509,4.623529412
2008,Asia,66.118,7.403703704
2009,European Union,287.11,11.34444444
2009,Rest of Europe,118.82,11.06
2009,North America,21.44,11.3
2009,Middle East,12.783,7.95
2009,Oceania,31.625,8.063636364
2009,Central America and Caribbean,105.17,7.952631579
2009,Africa,148.328,4.717647059
2009,Asia,63.322,7.525925926
2010,European Union,282.67,11.44814815
2010,Rest of Europe,117.08,11.06666667
2010,North America,21.01,11.26666667
2010,Middle East,12.28,7.971428571
2010,Oceania,32.28,8.181818182
2010,Central America and Caribbean,102.75,8.078947368
2010,Africa,148.98,4.809803922
2010,Asia,70.27,7.644444444
2011,European Union,283.79,11.4962963
2011,Rest of Europe,118.46,11.13333333
2011,North America,20.86,11.46666667
2011,Middle East,11.77,8.171428571
2011,Oceania,31.6,8.290909091
2011,Central America and Caribbean,103.18,8.173684211
2011,Africa,153.48,4.903921569
2011,Asia,71.05,7.737037037
2012,European Union,283.24,11.52962963
2012,Rest of Europe,115.46,11.3
2012,North America,21.01,11.56666667
2012,Middle East,11.42,8.364285714
2012,Oceania,31.45,8.381818182
2012,Central America and Caribbean,103.86,8.210526316
2012,Africa,153.22,5.007843137
2012,Asia,73.53,7.859259259
2013,European Union,277.75,11.64074074
2013,Rest of Europe,112.55,11.38
2013,North America,20.82,11.5
2013,Middle East,11.1,8.478571429
2013,Oceania,29.88,8.463636364
2013,Central America and Caribbean,104.69,8.289473684
2013,Africa,150.64,5.123529412
2013,Asia,78.33,7.948148148
2014,European Union,279.11,11.72592593
2014,Rest of Europe,106.07,11.48
2014,North America,20.82,11.56666667
2014,Middle East,11.01,8.507142857
2014,Oceania,29.82,8.509090909
2014,Central America and Caribbean,105.77,8.478947368
2014,Africa,154.44,5.196078431
2014,Asia,76.55,8.040740741
2015,European Union,279.55,11.82592593
2015,Rest of Europe,102.97,11.52666667
2015,North America,21.02,11.66666667
2015,Middle East,11.07,8.564285714
2015,Oceania,29.46,8.581818182
2015,Central America and Caribbean,107.05,8.542105263
2015,Africa,152.61,5.256862745
2015,Asia,75.42,8.096296296
